"Site","nYear","nYearMODIS","PFT","Latitude","Longitude","Climate","Model","DOI","Period"
"US-Tw4",2,2,"WET",38.10298,-121.6414,"C","No","10.18140/FLX/1440111","2013-2014"
"US-Twt",6,6,"CRO",38.1087204,-121.6531,"C","No","10.18140/FLX/1440106","2009-2014"
"US-UMB",15,14,"DBF",45.5598,-84.7138,"D","Yes","10.18140/FLX/1440093","2000-2014"
"US-UMd",8,8,"DBF",45.5625,-84.6975,"D","Yes","10.18140/FLX/1440101","2007-2014"
"US-Var",15,14,"GRA",38.4133,-120.9507,"C","Yes","10.18140/FLX/1440094","2000-2014"
"US-WCr",16,14,"DBF",45.8059,-90.0799,"D","Yes","10.18140/FLX/1440095","1999-2014"
"US-Whs",8,8,"SH",31.7438,-110.0522,"B","No","10.18140/FLX/1440097","2007-2014"
"US-Wi0",1,1,"ENF",46.618778,-91.081444,"D","Yes","10.18140/FLX/1440055","2002-2002"
"US-Wi1",1,1,"DBF",46.730472,-91.232944,"D","Yes","10.18140/FLX/1440054","2003-2003"
"US-Wi2",1,1,"ENF",46.686889,-91.152833,"D","No","10.18140/FLX/1440056","2003-2003"
"US-Wi3",3,3,"DBF",46.634722,-91.098667,"D","Yes","10.18140/FLX/1440057","2002-2004"
"US-Wi4",4,4,"ENF",46.739333,-91.16625,"D","No","10.18140/FLX/1440058","2002-2005"
"US-Wi5",1,1,"ENF",46.653083,-91.085806,"D","Yes","10.18140/FLX/1440059","2004-2004"
"US-Wi6",2,2,"SH",46.624889,-91.298222,"D","No","10.18140/FLX/1440060","2002-2003"
"US-Wi7",1,1,"SH",46.649111,-91.069278,"D","No","10.18140/FLX/1440061","2005-2005"
"US-Wi8",1,1,"DBF",46.722333,-91.252417,"D","Yes","10.18140/FLX/1440062","2002-2002"
"US-Wi9",2,2,"ENF",46.618778,-91.081444,"D","No","10.18140/FLX/1440063","2004-2005"
"US-Wkg",11,11,"GRA",31.7365,-109.9419,"B","No","10.18140/FLX/1440096","2004-2014"
"US-WPT",3,3,"WET",41.464639,-82.996157,"D","No","10.18140/FLX/1440116","2011-2013"
"ZM-Mon",10,9,"DBF",-15.4391,23.2525,"A","No","10.18140/FLX/1440189","2000-2009"
