"ts","mean.r2","sd.r2","mean.rRMSE","sd.rRMSE","num"
60,0.0380520190974673,0.0464652186726642,0.673108146363946,0.264525235333112,621
59,0.0384505631321363,0.0467664654864211,0.672598608954528,0.265840958964012,623
58,0.0389657788086422,0.0470786761808231,0.673238874519782,0.267141166408427,623
57,0.0395815592815637,0.047355336305292,0.673855725719085,0.26846966531195,622
56,0.0400876586277269,0.047561876310625,0.675584028043554,0.268989587116201,623
55,0.0403399535117643,0.0477223588829831,0.677580686350376,0.270400720413322,628
54,0.0408037626867955,0.047969638769164,0.678642070126609,0.271402815647647,630
53,0.0414020154785319,0.0483037278983872,0.679266160078843,0.272782004809913,630
52,0.0417452573404643,0.048506992902919,0.680166253032227,0.273909440829555,634
51,0.0421396226789508,0.0486978337680821,0.680737101074028,0.275125161825789,637
50,0.0426827127942054,0.0489952645768206,0.681835102195956,0.276857404651303,638
49,0.0432013628560342,0.0493275900813857,0.683375917950223,0.278183789292459,640
48,0.0438988135101848,0.049692914579621,0.684084264091526,0.2798379801996,640
47,0.0444224990593289,0.0500018751598103,0.684440563259269,0.281094861523061,643
46,0.0449233692817674,0.050435454394349,0.683704854556587,0.282431444550142,647
45,0.0455148146693265,0.0508725463590917,0.68412330307375,0.283210622396115,650
44,0.0461405552467784,0.0512875918650772,0.686346675913767,0.285204812414348,653
43,0.046655091331254,0.0516296122397745,0.685349044540409,0.286317440815418,657
42,0.0470228347634399,0.051891005273248,0.684389337591489,0.287565623606729,662
41,0.0476463930264632,0.0521331127646413,0.686154863554087,0.288656970714172,663
40,0.0481669539088517,0.0523092961723724,0.686447546331613,0.289706717369787,666
39,0.0489476625181554,0.0526464796971488,0.684126897198914,0.289814402459049,666
38,0.0497395993234582,0.0531004586732109,0.684780489023947,0.29096370727866,666
37,0.0503116826190923,0.0535819032391709,0.686174094596598,0.292117505105122,669
36,0.0507652842594911,0.0541222344286542,0.689072376691811,0.293445237745917,673
35,0.0514354920215722,0.0546041993055629,0.688079847286838,0.293348565179312,674
34,0.0522170901641723,0.0552149314968959,0.689319804595901,0.294939665898366,674
33,0.0529036596996855,0.0557886367169129,0.688748030856131,0.293727757899076,675
32,0.0536051717609176,0.0562302224290089,0.691123696241614,0.298335636659646,676
31,0.0542831387328607,0.0566750334126354,0.690645071849599,0.299368552642345,678
30,0.054788887450015,0.0572357560690613,0.694744901744188,0.306503368671118,683
29,0.0555773952831728,0.0575895744871334,0.693687899667881,0.306427054437243,684
28,0.0560167644767579,0.0578450920314298,0.694881648745525,0.308960374593514,689
27,0.0565956645128617,0.0581416919958216,0.694486830949837,0.310985876701955,692
26,0.0573843365843074,0.0585868437974841,0.698374631512494,0.317441950207041,693
25,0.0580933512435035,0.0590762560284899,0.699277570582234,0.31967883747942,696
24,0.059046204340611,0.0594089926783061,0.702726622808187,0.326238895075077,695
23,0.0596098931539979,0.0592432059892378,0.705502954037463,0.330502798763983,697
22,0.0600228148043545,0.0589736491112929,0.708931043606931,0.341289442855436,700
21,0.0607232959021722,0.0587675039283862,0.710874766591946,0.344619824737502,699
20,0.0611718341887007,0.0586717643828953,0.713292542648942,0.348775646803866,700
19,0.0614337907171129,0.0587328122919379,0.716157263093226,0.351962941178832,702
18,0.061667827833258,0.0590581729232568,0.718586670509881,0.355044693884721,705
17,0.0618868760791988,0.0590408753267778,0.722384144351893,0.360715489738011,707
16,0.0622809423002731,0.0587345164942489,0.724237631764564,0.364962179980391,707
15,0.0627378407815301,0.0583925240044077,0.725201448690411,0.368327845009224,706
14,0.0626897610338039,0.0580130079268569,0.723494744170037,0.365865497052098,708
13,0.0624111361516609,0.0579389475889931,0.722314067777481,0.367486738394189,711
12,0.0623988811568298,0.0576128179526886,0.72846415040906,0.376995216416774,708
11,0.061954540431536,0.0572507559903783,0.730330629638285,0.381223990025179,708
10,0.0611386883654009,0.0564697747642665,0.731081524193943,0.38550033826222,707
9,0.0598786151609587,0.056546284746458,0.736105818157559,0.395193782937843,708
8,0.0583618389504911,0.0568901273994553,0.741857977781935,0.403411644904302,709
7,0.0560291664158631,0.056042904934728,0.743154406202962,0.408965151647265,711
6,0.0538736745670702,0.0545102319463785,0.744089710743042,0.412802092286903,705
5,0.0504560234740836,0.0521998770401024,0.75108567080639,0.421838433561305,706
4,0.0457074298670864,0.0483667121986022,0.76111785553629,0.441791173552249,706
3,0.0391509299508679,0.0424076697217943,0.781717177704009,0.485679618504519,704
2,0.0316447310115449,0.0354968192886089,0.814516870784612,0.552280279214868,680
