"ts","mean.r2","sd.r2","mean.rRMSE","sd.rRMSE","num"
60,0.0966207952833332,0.108847847532249,0.642405592860364,0.323971040769357,520
59,0.0970720206227898,0.108757422939593,0.642469902255919,0.330356317175466,520
58,0.0976917594924943,0.108629456752892,0.642907770011925,0.336847555592592,519
57,0.0976143516887109,0.10831870531141,0.642466753050239,0.343995817722142,522
56,0.0980620271948119,0.1079849866525,0.642764612228308,0.352151274054392,522
55,0.0986283245829781,0.107898041503563,0.642980050594257,0.361832099746086,522
54,0.0993080940773932,0.107916339811726,0.644796261712097,0.371897447833522,522
53,0.100378089275918,0.108048518386224,0.646436849827929,0.38423200561955,520
52,0.100886556479864,0.108149653413571,0.647344274339122,0.40025273611876,521
51,0.101792132022583,0.108441056561709,0.648875239299589,0.42026819036943,520
50,0.102365278940419,0.108692592240519,0.650329419498517,0.449771762891314,521
49,0.103467340550605,0.109410142092182,0.652393987089293,0.486795359613926,520
48,0.104274078093407,0.110019080357307,0.654570657289747,0.515380002055662,521
47,0.10489672404697,0.110405931804568,0.65491202669019,0.532954426203522,523
46,0.105352692131397,0.110642805358446,0.656199050646149,0.533887670417377,525
45,0.106581683522497,0.110871561917845,0.656421973879354,0.526712080554965,523
44,0.107393043934169,0.110896392341735,0.655905605982062,0.524777194206043,523
43,0.108122972796952,0.111111498862645,0.655604059459487,0.517760379826062,524
42,0.108608646677004,0.111366991314143,0.654045759966865,0.512813123764434,526
41,0.10915003330437,0.111437637927148,0.653890200338214,0.498745593752439,527
40,0.109553332790961,0.111642641006703,0.654262742515406,0.490506072513354,529
39,0.110152060550093,0.112048986001159,0.652803522154123,0.480902053216131,531
38,0.111268586535858,0.112570946285257,0.654164702659216,0.472456743493454,531
37,0.112120572868148,0.112760881857623,0.653685482419124,0.46505747486454,532
36,0.113038875556388,0.11283606331596,0.654164320646433,0.457294129162155,532
35,0.113890646841535,0.112759023738546,0.655378727984279,0.465582316906713,532
34,0.114687868472442,0.112690529771645,0.656658448317041,0.477076766501285,532
33,0.115264140053553,0.112827101159253,0.659678993111375,0.499143422087173,533
32,0.116209259496147,0.112999889364757,0.661286467949626,0.511218513266758,532
31,0.117151700812838,0.113271789807776,0.662717494487108,0.523371762530616,531
30,0.117737310054295,0.113417304573001,0.664653783079383,0.529004561307298,532
29,0.119187755984807,0.113671894272331,0.665082837419112,0.52070121651862,530
28,0.120681232837114,0.11395460062099,0.667724119799254,0.515336005842189,528
27,0.122230967282729,0.114328743169111,0.667509337550887,0.501563872511558,526
26,0.122964043763812,0.114338318162286,0.667300000047089,0.489354240326678,528
25,0.123891525631095,0.114633195810347,0.667951499359802,0.493461963243696,529
24,0.124717887770747,0.115099398500915,0.670187909883428,0.498865601170704,530
23,0.125857295201311,0.115794264282632,0.674262130929262,0.528049967845196,529
22,0.126653846648986,0.116492476422569,0.677579740656919,0.590269999414704,529
21,0.126688269440029,0.11673624075728,0.681823053577963,0.646291649375656,531
20,0.126499656101192,0.116927408051877,0.684101126364272,0.707337242456502,533
19,0.126546191363227,0.116889370521389,0.693175735685169,0.83752341437594,532
18,0.12659765867159,0.117049456146987,0.703565669435045,0.997100880992994,531
17,0.126512475275202,0.117487762999831,0.717334438317649,1.27635004293567,531
16,0.126383820855261,0.1171712091654,0.720458112548613,1.29243032807084,530
15,0.125778115319819,0.116926198960206,0.7168380205468,1.19152512692937,530
14,0.124642806988369,0.116587720561766,0.720973388306149,1.25313729296436,531
13,0.123457720450706,0.116249102741623,0.7205384340126,1.17987110489134,531
12,0.121917965282856,0.115187331790217,0.708060745025874,0.854273884045633,531
11,0.119470562937684,0.113274565933034,0.700030337623699,0.6627846455412,533
10,0.117071826217487,0.110894560707037,0.699237313539534,0.568275297581852,532
9,0.115427559656823,0.109548654961552,0.706287540736724,0.553961251652238,526
8,0.112903522864398,0.109201788759053,0.708642194637619,0.528021411278068,525
7,0.110773746758146,0.108197110057959,0.712285764863233,0.518271763581322,520
6,0.107726992524242,0.106392102064273,0.719077377151328,0.528370719869089,514
5,0.101942634016832,0.104712703979538,0.728302714318903,0.533639615611698,516
4,0.0944407112866874,0.10046027172126,0.744252668713175,0.573471403373102,513
3,0.0860395882223398,0.0957563371522678,0.769278345626145,0.595600939546883,499
2,0.072383703329418,0.087491497478772,0.793269796985784,0.608688470057857,487
