"ts","mean.r2","sd.r2","mean.rRMSE","sd.rRMSE","num"
60,0.0792743696705257,0.112621450885624,0.799217897398142,0.305452578940264,201
59,0.0775342800640075,0.111103325810919,0.805272568738297,0.314491950713529,206
58,0.07680507980171,0.110017271255775,0.809473670434577,0.315345881425702,208
57,0.0760561021871414,0.109285821582923,0.815088008605303,0.317874431283429,210
56,0.0761395146285413,0.109989372760103,0.818790005330886,0.324613737470049,211
55,0.0762724603200282,0.111052120211614,0.816928891779327,0.319146654313819,213
54,0.0768880870473764,0.112479686868983,0.817064661840204,0.318395608392209,214
53,0.0776871004731016,0.113012243824153,0.819299540586164,0.319757137977826,214
52,0.0781133555566803,0.112830623244847,0.822782824237371,0.320584414528195,215
51,0.0784558122316898,0.112064187326606,0.82350605093487,0.319287761395654,216
50,0.0782377019736624,0.111038177997039,0.823213405024999,0.319681808424237,218
49,0.0786706305279293,0.110063620690712,0.825233134425168,0.319984898783184,218
48,0.0795668866800022,0.110165379523556,0.826234859932928,0.320670992631053,217
47,0.0787198019723043,0.109484555143189,0.828924941036374,0.318382105826232,221
46,0.0782362555767191,0.107783245002473,0.831683970850456,0.314598571655494,224
45,0.079405780919776,0.106922328663383,0.832240322851417,0.313650383145505,223
44,0.0800937806750671,0.106072844032525,0.832055499893276,0.312161451076789,223
43,0.0798216149611675,0.104054740321669,0.83164115733702,0.307976524850535,225
42,0.0804286692306637,0.103066045332003,0.837175103661746,0.309614961677985,225
41,0.080713536633171,0.102504608262335,0.833986815602718,0.308639245792298,226
40,0.0810612600896026,0.102196250684674,0.835931284086101,0.304151918319047,227
39,0.0812270062357299,0.102597775195393,0.835127684455435,0.302115746792886,229
38,0.081016578351989,0.103422765618395,0.835650699993618,0.299640087906089,233
37,0.0820139997176817,0.104680121586597,0.840551536111995,0.298134013683194,234
36,0.0808149746693258,0.104671130116238,0.835134915867896,0.298383157134555,241
35,0.0813681047290404,0.104926954428248,0.839877240912457,0.298724587236881,242
34,0.0813229509966084,0.105102498990734,0.840295758838772,0.299109028001662,245
33,0.0815222996261188,0.105142834594484,0.842719530203133,0.297507175526134,247
32,0.0831703678357727,0.105736885172041,0.841741878247675,0.297947443812482,246
31,0.0825576474834815,0.105499164637907,0.843816794634817,0.291961441323131,252
30,0.0824689356706971,0.10536345394619,0.847574304697801,0.301745138603277,257
29,0.0838828171392251,0.105564743642892,0.848955906776076,0.302470200567738,258
28,0.0853987622209646,0.10578060386642,0.851049555674803,0.304296234427683,259
27,0.085541815625959,0.105789102702295,0.852397594221058,0.303067498080075,265
26,0.0860701863419048,0.105868878182851,0.850871497680991,0.301935751289485,270
25,0.0864878074960337,0.105762034684313,0.847878081635718,0.298992287212413,275
24,0.0882347635345542,0.106235909926808,0.848621282103263,0.297354728460994,276
23,0.0898552303320637,0.106202979769719,0.851535665407688,0.29750080222508,277
22,0.0907750007515738,0.10645997315452,0.849281513580761,0.295390214767667,281
21,0.0903685618091417,0.106461817168304,0.84868210381659,0.290464843881899,288
20,0.0926037529266817,0.106869434924777,0.849140786197156,0.288316887016569,287
19,0.0944858883465525,0.106862737753715,0.848096481092539,0.288198092056208,287
18,0.0962160796803077,0.107502518094943,0.84985955826026,0.283957577281699,288
17,0.0968634277196944,0.109861029228984,0.847798051973199,0.283998944513556,293
16,0.0974263811603581,0.111104050934599,0.848490687006901,0.284627140020372,297
15,0.095851323778885,0.110776828334312,0.844420839443365,0.281412575977255,306
14,0.0956445266108206,0.110475978515214,0.846058577533785,0.282783118177338,309
13,0.0942238280679342,0.110529313400041,0.846755196575172,0.283015823427406,316
12,0.0943133424678952,0.110301266932498,0.847460784537445,0.284847015489861,316
11,0.0936647888504369,0.111201204794821,0.846288801957448,0.2853836465334,320
10,0.0936641536271763,0.111247739377256,0.84533631087816,0.285937647683537,319
9,0.0915614114490724,0.110365508106401,0.849523443418125,0.283186471240475,325
8,0.0886809346695794,0.108941949463846,0.845749030539113,0.278998511234898,333
7,0.0878246688609753,0.108537375248525,0.841974486091196,0.27882126951335,336
6,0.0881801233803154,0.10942581740395,0.839469897961775,0.277143480222329,337
5,0.0885588414577572,0.112991543672993,0.844492162761679,0.279267244703107,340
4,0.0892316970336483,0.111852528397784,0.845173656199875,0.289858893439217,331
3,0.0862145944798113,0.111884003112537,0.850094956969153,0.306427731000291,330
2,0.0803474034747997,0.111615878174942,0.866651526245214,0.328177660401404,325
